Solution,AUC,ACE,Equity_Gap,DenseNet121,ResNet50,ResNet101,EfficientNet-B4,VGG16,Inception-v3,MobileNetV2
25,0.9847536010350231,0.0031706096697170184,0.000116722736606234,0.0077935503945786135,0.07929631560360802,0.021369780866481725,0.00028419109877280405,0.7355623222108576,0.036317742628913234,0.11937609719678817
26,0.9889709620551438,0.002883626579659489,0.0014235506308979406,0.10099412708234323,0.31835379814380943,0.4695723001702861,0.03858723368224824,0.049266090280301635,0.005489713162546667,0.01773673747846473
27,0.9878995224002814,0.01114385666178716,0.0007527212861424548,0.09936733707677736,0.3636833125745857,0.05346678128483668,0.011845293430983561,0.3009364487991362,0.043381487434497636,0.12731933939918272
28,0.9878112728906556,0.002535563600855047,0.0010007386229737847,0.0189449856807128,0.7285949775001157,0.06343733874039248,0.0776142533448964,0.08555052409588597,0.011950004546223338,0.013907916091773345
29,0.9860238098231824,0.005264106600709495,0.00030813503301563294,0.02205284695095598,0.17767720239390447,0.020673347672512447,0.003255892065808056,0.6324142602712814,0.021779844952828968,0.12214660569270856
30,0.9867264472838723,0.004923537209343827,0.0004495711919296763,0.07082690205364019,0.3062786338645273,0.01676572212838901,0.000381131090980083,0.563084723241208,0.029283380951202788,0.013379506670052724
31,0.9873285501628081,0.007383752240905353,0.00046824154379476735,0.012899897041684425,0.5238452836951579,0.0249208342156757,0.004584675463195813,0.29696582079832307,0.05582227707193286,0.08096121171403017
32,0.9881479567613826,0.0043058933080229005,0.001082038344858427,0.15270772830652998,0.6249992485849308,0.06188872356079996,0.046954221625672206,0.04194125995977238,0.0101777621705436,0.06133105579175099
33,0.9863991538555814,0.003925627395343044,0.0005890326872886043,0.007990751859379518,0.06234505045600145,0.17344966174923288,0.002486602684867429,0.6549913546134976,0.023332702479391915,0.07540387615762922
34,0.9871085371593403,0.005749531643630592,0.0004483727286406225,0.09553507703958003,0.3671727949838971,0.004703776540422792,0.000349766300898736,0.479190183470371,0.023039307460581235,0.030009094204249197
35,0.9886850131937146,0.0025318138391896648,0.0012991395244900117,0.018839165270761103,0.46389807440257813,0.37824659305098196,0.04904801542525802,0.04380175619170284,0.010475221043784263,0.035691174614933784
36,0.9873218690042012,0.006067841435550064,0.0005438989758765889,0.10713177292178769,0.36042144040921736,0.01772052153364452,0.0002928162116832985,0.4594359629603362,0.02544346121473213,0.029554024748598896
37,0.9889324636046279,0.006666489793084676,0.0012200298434718038,0.10351978317978618,0.281865726277204,0.3987264800064755,0.037556877861992216,0.10808489048676533,0.041263241156696405,0.02898300103108029
38,0.9886645231463174,0.0027553282824704026,0.0012560979926707905,0.015353072542277366,0.46256331627729136,0.37612025802309423,0.04474804295288665,0.050502905431616764,0.019126192325725815,0.03158621244710772
39,0.9852044218835876,0.008363028929767528,7.04447659048979e-05,0.0016770660298474223,0.16575792031013273,0.0014058294354063253,0.001060638439516052,0.5969420974378108,0.0508263389627134,0.18233010938457334
40,0.9889599109635293,0.005235815076472503,0.0012328504515822791,0.07748616986494736,0.34051517379658025,0.39090660456863013,0.04106765865660432,0.09081801898664019,0.02460005231668294,0.034606321809914714
41,0.9869833839199829,0.006158927405235104,0.00040145973305372173,0.08670680578832933,0.3683181867440407,0.0013480799131220529,0.00040958612815239454,0.4824579378357503,0.034980220761054524,0.025779182829550672
42,0.9877995326607301,0.008128320458172869,0.0006876279563633458,0.03710535205084285,0.2814175082516531,0.13503313662765506,0.0022539328796823523,0.42328803582197805,0.0493809607634831,0.07152107360470542
43,0.9889353545025245,0.002594493118398501,0.0013763020157462336,0.06245720803876159,0.3361628781101501,0.4733427431942284,0.04811390794647842,0.051939323712973245,0.007882651004842952,0.020101287992565067
44,0.988833425473033,0.006769941830888713,0.0011535563543465521,0.11748697415098763,0.40365492612441134,0.22824644759758603,0.02810525334603828,0.16943798825307127,0.026739669647097956,0.026328740880807416
45,0.9855573602133564,0.0036775772180031975,0.0001574516469609044,0.019405077206374133,0.15579882473585932,0.01347861508257767,0.00012326216146615207,0.6907754208573319,0.02491155839430179,0.095507241562089
46,0.9883697112696074,0.009689882203915628,0.0008914678396211295,0.07947617698476296,0.3471662597804416,0.1353495761011295,0.027498703513115563,0.29249599076511873,0.056550470843947584,0.061462822011484015
47,0.9884400419392161,0.012546175930165972,0.0009767169524343977,0.07809714787712313,0.25794422411128454,0.19749484486867733,0.0506337835328326,0.2560237017903299,0.07681052464962566,0.0829957731701266
48,0.9872167069955217,0.006355412525693415,0.0004710130568839066,0.09432192874425775,0.36251026616069965,0.004644045825083267,0.0015511233594016497,0.4656922791486495,0.02526087759757155,0.04601947916433653
49,0.9851464882399841,0.004595780393302841,5.4764136226626015e-05,0.005698136366001158,0.1510558569471539,0.0006429094397282082,0.0025643162017005487,0.6774902065150281,0.05493394110219007,0.10761463342819816
50,0.9833502467446039,0.002893886487507675,2.598677814413808e-05,0.0008465498606287018,0.03252041800051953,0.0008044513558726084,0.005546876318452528,0.7690102894673555,0.061149475600757335,0.13012193939641378
51,0.9857839996424244,0.0040469318702260615,0.00018019021455029094,0.020872857835386466,0.18026310996367445,0.013182496099262576,0.00012774264229463493,0.660757866587675,0.025817073586195862,0.09897885328551094
52,0.9843941420138714,0.003188546781179935,8.024886703039691e-06,0.007543785605265761,0.07893425093298623,0.006104190889923272,0.00028870535606256387,0.7472464234703681,0.03574658896266253,0.1241360547827316
53,0.9859801677139736,0.0043983001696625505,0.00022948131029931762,0.019314200564231394,0.19399790133358055,0.019742159885391495,0.0003892203736369283,0.650256974748545,0.024054427934679674,0.092245115159935
54,0.9860033720209278,0.004234334516294458,0.00026267167513982503,0.021315317216282267,0.17779468848624186,0.02670502688345939,0.0004012640109363884,0.6522815607224454,0.026279231202639076,0.09522291147799562
55,0.9858157858360344,0.004083903460888972,0.0002007810680868527,0.02089587579057394,0.1804618986594928,0.013197033356540181,0.0007354664845595704,0.6600333931069372,0.02558832843597404,0.0990880041659223
56,0.9888767665507051,0.006366198933582859,0.0011810936283805917,0.10786343351440024,0.39873111244011444,0.24038255899285402,0.023939277928591095,0.17626158755250051,0.00962043586424683,0.04320159370729275
57,0.9864659940520846,0.0078095542339488115,0.00033009010388318494,0.06784109046262085,0.2995198351782173,0.0011386162871658725,0.0003650639527014056,0.5312788881206105,0.07871709553545632,0.021139410463227547
58,0.9877219710145839,0.006059027534846932,0.0006790769387875484,0.08243003151313379,0.36970864163324224,0.07373453765108097,0.0004111323755410265,0.41776195087183643,0.03511227619772064,0.020841429757444806
59,0.9862126934291198,0.004692734386864001,0.00034652770074161676,0.022259582773152636,0.16898489349305298,0.04597897097732295,0.0003388326094673905,0.6406113540510456,0.023870658460680542,0.09795570763527792
60,0.9877309472276739,0.007896890400447049,0.0006703479553281655,0.036247875478247905,0.275020103460695,0.13039785512679775,0.0018750507409399262,0.438193106293843,0.048397733117005355,0.06986827578247101
61,0.9878339398189993,0.008238594881299644,0.0007210364659059332,0.03768359689118233,0.27583866400908774,0.12984101555722466,0.007134776653775085,0.42991564014126715,0.04720701793899389,0.07237928880846904
62,0.9890387762503792,0.0046645056755560835,0.0013289533066047632,0.10172571222067567,0.2841075779290477,0.4246839771758864,0.032153180591541326,0.1187311047688525,0.006036205390671818,0.03256224192332456
63,0.988274520619593,0.010023107564044658,0.0008761810094846112,0.08069617368974781,0.3086741434710643,0.1319325479847676,0.02822096053260693,0.32720794399056474,0.06079235890376672,0.06247587142748184
64,0.988711683095135,0.0027140044828094464,0.0012892143782706755,0.02008562381834189,0.4685021571133663,0.36348109584293514,0.049534805805038586,0.05331678277773633,0.009034133250173403,0.03604540139240848
65,0.985674696584219,0.0035423150069027456,0.00036365816958305874,0.06948361489480173,0.09865957935843457,0.012397313509522341,0.007885652280989822,0.7052539084710923,0.02762168560566492,0.0786982458794944
66,0.9834853862698105,0.003795085782546324,1.4215284772634007e-06,0.0009728799655139853,0.04074275039138201,0.0003734069705876943,0.0059900629630394815,0.792565086562997,0.03159740827657997,0.1277584048698999
67,0.9882783991994728,0.00997156220183644,0.0008773819091559831,0.08073871620699333,0.309280094972937,0.13201857225534427,0.0282393615078164,0.3274212941087776,0.059874175770680604,0.0624277851774507
68,0.9878740591128712,0.006462604550510769,0.0008059678994215558,0.1319569238096449,0.29731691829199547,0.08592445345717928,0.0017450240671337271,0.4324769158554528,0.02052904663265785,0.03005071788593584
69,0.9874261726998221,0.005419048669359202,0.0005936702943025729,0.0014117092527426076,0.3622242380757484,0.12105428855388888,0.0002935588658411239,0.4571576687082843,0.029951918807560776,0.027906617735933885
70,0.987804026986935,0.008140983206809596,0.0007106287032854208,0.03779896595400109,0.2778021440501786,0.12381920606603368,0.007156619910891547,0.4340678312306587,0.04687911988938324,0.07247611289885315
71,0.9882585734117475,0.009186036100335325,0.0008519521448643319,0.048611546962746374,0.36187889587277344,0.13996959695151726,0.02374768586836918,0.30030874413444814,0.06358238056641549,0.06190114964373011
72,0.9889017185820762,0.0062941658536238,0.0011992578781776508,0.11127868972654986,0.38813604071842694,0.25456489325218606,0.023303164119797385,0.1715538187819594,0.009109751206823198,0.04205364219425722
73,0.9882118077893638,0.008928496991614852,0.0008214552153357202,0.12111894214182792,0.3245605136061865,0.13711797355886748,0.0004227938358537493,0.312467900104573,0.04845802287912001,0.055853853873571356
74,0.9868803801332701,0.005576345070522249,0.0004187584078820805,0.08034979807980971,0.3318217712774623,0.00738695845571303,0.00039112004339116085,0.5243336513734544,0.03138470137246519,0.024331999397704158
75,0.9877495191319748,0.0022618930438661404,0.001162893710351054,0.0003136163244070163,0.7004625573249202,0.11204489034466233,0.07567672155578908,0.051260935288081906,0.0039682206203827996,0.056273058541756744
76,0.9843053414423831,0.003216093671637645,3.6446865904204984e-06,0.00759168273256157,0.07287050588789744,0.006142947718840638,0.00029053840884453295,0.7519908527183726,0.03618925107568358,0.12492422145779959
77,0.9854522865238466,0.003446545409831506,0.00020378344773441803,0.022058421824079903,0.12059822051428781,0.022317841791881156,0.0004116572435861696,0.7053445012094377,0.02604245529676885,0.10322690211995834
78,0.98524856529738,0.008495888148034671,8.804978747189995e-05,0.0012150425277817306,0.16690233976068847,0.0035227879351854017,0.0010488776629618878,0.5941781233652749,0.05026275650771637,0.1828700722403912
79,0.9853889479958368,0.00856318415830998,0.0001033683120702511,0.008205783280004167,0.1714216905921273,0.00129849186865231,0.000732386693732425,0.5885542441731847,0.05009191269195565,0.17969549070034346
80,0.985641008418628,0.003545824454044279,0.0003586819534930896,0.06846880131706849,0.09721864855974233,0.012202462503314913,0.0077704817186040375,0.709572485250984,0.02721826874782086,0.0775488519024652
81,0.9888118071793393,0.0059948671428872785,0.0011455597967808817,0.06541950334395309,0.4365511672771538,0.22642568886018383,0.04330774042175013,0.17960128327637712,0.011303438075633125,0.03739117874494893
82,0.9890379527674155,0.004342433109400397,0.00133693873573415,0.10067658856557504,0.290685850571364,0.43344443776419145,0.03281644242033453,0.10324208185579026,0.0061444739195066584,0.03299012490323799
83,0.9841827581664742,0.0030165090091767016,0.00013953758344831257,0.0018994580232516896,0.05269955925114428,0.014728262710634647,0.004792122087151418,0.7384342543585651,0.03095942240858218,0.1564869211606707
84,0.986704294099432,0.008687096252446127,0.0003092585625732447,0.03444373049751468,0.31331199508265994,0.003412192447442469,0.0024693943135444666,0.4906826552457063,0.03323989071633628,0.12244014169679598
85,0.9853433367423206,0.008491417325886187,0.00013472295804328738,0.001128294406497292,0.17073555371412497,0.0034962809820355436,0.0034708648714500507,0.5917395561727559,0.047935369732217514,0.1814940801209189
86,0.9860156670445119,0.004697242663350785,0.000235972445574828,0.02018237663160674,0.19643758024858168,0.019990433350608787,0.00039411513142721016,0.6452333916847205,0.024356931622818767,0.0934051713302364
87,0.9883485619382661,0.00956762971615922,0.0008833575356215206,0.07906850770325773,0.3525492702851401,0.12920170315572532,0.027637362425549202,0.29419316250526484,0.05694010047339652,0.06040989345166637
